rank,country_full,2018,2017,2016
1,IR Iran,405.04,468.14,324.59
2,Australia,426.07,360.57,431.26
3,Japan,268.99,358.14,303.42
4,Korea Republic,213.57,401.08,332.3
5,Saudi Arabia,219.26,324.72,384.56
6,China PR,300.71,213.32,145.74
7,Palestine,309.28,91.46,193.06
8,Syria,259.07,220.19,208.79
9,Uzbekistan,164.9,331.29,223.89
10,United Arab Emirates,183.25,256.84,269.52
11,Iraq,253.64,91.69,249.9
12,Lebanon,310.25,66.56,135.7
13,Oman,205.63,101.58,160.69
14,India,215.81,171.36,99.71
15,Qatar,116.99,198.84,269.91
16,Vietnam,180.98,112.48,121.13
17,Jordan,148.26,109.37,208.54
18,Turkmenistan,184.52,63.75,207.98
19,Kyrgyz Republic,148.75,92.41,246.8
20,Korea DPR,114.02,124.31,283.58
